Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3136:1994,SN490C,---,---,16 ≤ t ≤ 50,---,0.18,1.60,0.55,0.020,0.008,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3136:1994,,,,50 < t ≤ 100,---,0.20,1.60,0.55,0.020,0.008,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,E295,1.0050,---,---,---,---,---,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 355 C,---,---,≤ 30,---,0.20,1.60,0.55,0.040,0.040,---,---,---,non-rimming
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,,,,> 30,---,0.22,1.60,0.55,0.040,0.040,---,---,---,non-rimming
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,E 355 D,---,---,≤ 30,---,0.20,1.60,0.55,0.035,0.035,---,---,---,fine-grained
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ISO 630:1995,,,,> 30,---,0.22,1.60,0.55,0.035,0.035,---,---,---,fine-grained
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S355JR,1.0045,---,≤ 16,---,0.24,1.60,0.55,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.24,1.60,0.55,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.24,1.60,0.55,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S355J0,1.0553,---,≤ 16,---,0.20,1.60,0.55,0.040,0.040,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.20,1.60,0.55,0.040,0.040,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.22,1.60,0.55,0.040,0.040,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S355J2G3,1.0570,---,≤ 16,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.22,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S355J2G4,1.0577,---,≤ 16,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.22,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S355K2G3,1.0595,---,≤ 16,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.22,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,S355K2G4,1.0596,---,≤ 16,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,16 < t ≤ 40,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,,,,> 40,---,0.22,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM520B,---,---,≤ 100,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM520C,---,---,≤ 100,---,0.20,1.60,0.55,0.035,0.035,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3101:1995,SS540,---,---,---,---,0.30,1.60,---,0.040,0.040,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 678/A 678M-00a,B,---,K02002,≤ 40,≤ 1½,0.20,0.70-1.35,0.15-0.50,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 678/A 678M-00a,,,,40 < t ≤ 65,1½ < t ≤ 2½,0.20,1.00-1.60,0.15-0.50,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,JIS G 3106:1999,SM570,---,---,≤ 100,---,0.18,1.60,0.55,0.035,0.035,---,---,---,----
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,E 335,1.0060,---,---,---,---,---,---,0.045,0.045,---,---,---,N 0.009
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 678/A 678M-00a,C,---,K02204,≤ 40,≤ 1½,0.22,1.00-1.60,0.20-0.50,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,ASTM A 678/A 678M-00a,,,,40 < t ≤ 65,1½ < t ≤ 2½,0.22,1.00-1.60,0.20-0.50,0.035,0.04,---,---,---,---
3.1B Chemical Composition of Carbon Steels for Structural Steel Plates,EN 10025:1993,E 360,1.0070,---,---,---,---,---,---,0.045,0.045,---,---,---,N 0.009
