Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 19,---,---,0.20-0.50,2.00,2.00,0.040,0.040,19.00-23.00,23.00-27.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HN,---,J94213,0.20-0.50,2.00,2.00,0.04,0.04,19.0-23.0,23.0-27.0,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 608/A 608M-02,HN40,---,J94214,0.35-0.45,1.50,0.50-2.00,0.04,0.04,19-23,23-27,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX35NiCrSi25-21,1.4805,---,0.20-0.50,2.00,1.00-2.00,0.040,0.030,19.00-23.00,23.00-27.00,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,BS 3100:1991 AMD.1:1992,311C11,---,---,0.5,2.0,3.0,0.050,0.050,17.0-23.0,23.0-28.0,1.5,---
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40CrNiSiNb24-24,1.4855,---,0.30-0.50,2.00,1.00-2.50,0.040,0.030,23.00-25.00,23.00-25.00,0.50,Nb 0.80-1.80
7.5A Chemical Composition of Cast Heat Resistant Steels,ISO 11973:1999,GX40CrNiSiNb24-24,---,---,0.25-0.50,2,1.0-2.5,0.04,0.03,23-25,23-25,0.5,Nb 1.2-1.8
7.5A Chemical Composition of Cast Heat Resistant Steels,EN 10295:2002,GX40NiCrSiNb35-26,1.4852,---,0.30-0.50,2.00,1.00-2.50,0.040,0.030,24.00-27.00,33.00-36.00,0.50,Nb 0.80-1.80
7.5A Chemical Composition of Cast Heat Resistant Steels,ASTM A 297/A 297M-97 (2003),HP,---,N08705,0.35-0.75,2.00,2.50,0.04,0.04,24-28,33-37,0.50,---
7.5A Chemical Composition of Cast Heat Resistant Steels,JIS G 5122:2003,SCH 24,---,---,0.35-0.75,2.00,2.00,0.040,0.040,24.00-28.00,33.00-37.00,0.50,---
