Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,"Section Thickness t, mm","t, in.",C,Mn,Si,P,S,Cr,Ni,Mo,Others
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,309H,---,S30909,---,---,0.04-0.10,2.00,0.75,0.045,0.030,22.0-24.0,12.0-15.0,---,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X6CrNi23-13,1.4950,---,---,---,0.04-0.08,2.00,0.70,0.035,0.015,22.00-24.00,12.00-15.00,---,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,310H,---,S31009,---,---,0.04-0.10,2.00,0.75,0.045,0.030,24.0-26.0,19.0-22.0,---,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X6CrNi25-20,1.4951,---,---,---,0.04-0.08,2.00,0.70,0.035,0.015,24.00-26.00,19.00-22.00,---,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,316,---,S31600,---,---,0.08,2.00,0.75,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,N 0.10
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X5CrNiMo17-12-2,1.4401,---,---,---,0.07,2.00,1.00,0.045,0.015,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X3CrNiMo17-13-3,1.4436,---,---,---,0.05,2.00,1.00,0.045,0.015,16.50-18.50,10.50-13.00,2.50-3.00,N 0.11
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 5 CrNiMo 17 12,---,---,---,---,0.07,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.50,2.00-2.50,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ISO 9328-5:1991,X 5 CrNiMo 17 13,---,---,---,---,0.07,2.00,1.00,0.045,0.030,16.50-18.50,11.00-14.00,2.50-3.00,---
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,ASTM A 240/A 240M-03c,316L,---,S31603,---,---,0.030,2.00,0.75,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,N 0.10
4.8A Chemical Composition of Austenitic Stainless Steels for Pressure Vessel Plates,EN 10028-7:2000,X2CrNiMo17-12-2,1.4404,---,---,---,0.030,2.00,1.00,0.045,0.015,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
