Section,Standard Designation,"Grade, Class, Type, Symbol or Name",Steel Number,UNS Number,C,Mn,Si,P,S,Cr,Ni,Mo,Others
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,309S,---,S30908,0.08,2.00,1.00,0.045,0.030,22.0-24.0,12.0-15.0,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS309S,---,---,0.08,2.00,1.00,0.045,0.030,22.00-24.00,12.00-15.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUS309S,---,---,0.08,2.00,1.00,0.045,0.030,22.00-24.00,12.00-15.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS309S,---,---,0.08,2.00,1.00,0.045,0.030,22.00-24.00,12.00-15.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ISO 4955:1994,X6CrNi23-14,---,---,0.08,2.0,1.0,0.045,0.030,22.0-24.0,12.0-15.0,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,310S,---,S31008,0.08,2.00,1.50,0.045,0.30,24.0-26.0,19.0-22.0,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS310S,---,---,0.08,2.00,1.50,0.045,0.030,24.00-26.00,19.00-22.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUS310S,---,---,0.08,2.00,1.50,0.045,0.030,24.00-26.00,19.00-22.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS310S,---,---,0.08,2.00,1.50,0.045,0.030,24.00-26.00,19.00-22.00,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ISO 4955:1994,X6CrNi25-21,---,---,0.08,2.0,1.5,0.045,0.030,24.0-26.0,19.0-22.0,---,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,316,---,S31600,0.08,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS316,---,---,0.08,2.00,1.00,0.045,0.030,16.00-18.00,10.00-14.00,2.00-3.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4311:1991,SUS316,---,---,0.08,2.00,1.00,0.045,0.030,16.00-18.00,10.00-14.00,2.00-3.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS316,---,---,0.08,2.00,1.00,0.045,0.030,16.00-18.00,10.00-14.00,2.00-3.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X5CrNiMo17-12-2,1.4401,---,0.07,2.00,1.00,0.045,0.030,16.50-18.50,10.00-13.00,2.00-2.50,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),EN 10088-3:1995,X3CrNiMo17-13-3,1.4436,---,0.05,2.00,1.00,0.045,0.030,16.50-18.50,10.50-13.00,2.50-3.00,N 0.11
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),ASTM A 276-03,316L,---,S31603,0.030,2.00,1.00,0.045,0.030,16.0-18.0,10.0-14.0,2.00-3.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4303:1998,SUS316L,---,---,0.030,2.00,1.00,0.045,0.030,16.00-18.00,12.00-15.00,2.00-3.00,---
8.2.3A Chemical Composition of Austenitic Stainless Steels (Bar),JIS G 4318:1998,SUS316L,---,---,0.030,2.00,1.00,0.045,0.030,16.00-18.00,12.00-15.00,2.00-3.00,---
